dataset,trial,error_type,intensity,features,model,accuracy,f1_macro,f1_weighted
winequality-red.csv,2,NNAR,0.2,alcohol,KNN,0.359375,0.14844122342169,0.3745203457727177
winequality-red.csv,2,NNAR,0.3,target,RF,0.55,0.27291422157635564,0.5576730720086622
winequality-red.csv,2,NNAR,0.3,alcohol,RF,0.359375,0.18657386039355814,0.4486611950668752
winequality-red.csv,2,NNAR,0.3,target,LinearSVM,0.55,0.19941919786515974,0.4953802684247705
winequality-red.csv,2,NNAR,0.3,alcohol,LinearSVM,0.3125,0.12476898273760371,0.3648293421414809
winequality-red.csv,2,NNAR,0.3,target,KNN,0.421875,0.20981534109273317,0.42081628747477484
winequality-red.csv,2,NNAR,0.3,alcohol,KNN,0.315625,0.1425769616805577,0.35605089618966435
winequality-red.csv,2,NNAR,0.5,target,RF,0.49375,0.2580153435011983,0.5139486256875556
winequality-red.csv,2,NNAR,0.5,alcohol,RF,0.084375,0.05693685624720107,0.150923197492163
winequality-red.csv,2,NNAR,0.5,target,LinearSVM,0.528125,0.20254625540284302,0.4775266756174257
winequality-red.csv,2,NNAR,0.5,alcohol,LinearSVM,0.0,0.0,0.0
winequality-red.csv,2,NNAR,0.5,target,KNN,0.35625,0.19025504244662103,0.373907295983418
winequality-red.csv,2,NNAR,0.5,alcohol,KNN,0.14375,0.07446065640045574,0.21501157705171084
winequality-red.csv,2,NCAR,0.1,target,RF,0.615625,0.2967236905324022,0.6002598147941052
winequality-red.csv,2,NCAR,0.1,alcohol,RF,0.59375,0.2490734413975352,0.5914141646977468
winequality-red.csv,2,NCAR,0.1,target,LinearSVM,0.553125,0.20003083418324993,0.4971087023552572
winequality-red.csv,2,NCAR,0.1,alcohol,LinearSVM,0.55625,0.201535970938956,0.5006704572376214
winequality-red.csv,2,NCAR,0.1,target,KNN,0.453125,0.20800612346279793,0.43798518811399373
winequality-red.csv,2,NCAR,0.1,alcohol,KNN,0.43125,0.1678424048850878,0.42293379680955906
winequality-red.csv,2,NCAR,0.2,target,RF,0.615625,0.30436395076273975,0.6083589654445339
winequality-red.csv,2,NCAR,0.2,alcohol,RF,0.53125,0.2288468824953495,0.5504706147662743
winequality-red.csv,2,NCAR,0.2,target,LinearSVM,0.575,0.20927465439230974,0.5196432765018082
winequality-red.csv,2,NCAR,0.2,alcohol,LinearSVM,0.565625,0.20654264296086974,0.5126486518309197
winequality-red.csv,2,NCAR,0.2,target,KNN,0.45,0.21806220507676774,0.4434336081550859
winequality-red.csv,2,NCAR,0.2,alcohol,KNN,0.425,0.1742829111401413,0.43358697767465965
winequality-red.csv,2,NCAR,0.3,target,RF,0.55,0.2754560637204522,0.5512076053442959
winequality-red.csv,2,NCAR,0.3,alcohol,RF,0.390625,0.2364464115954912,0.4747763400959296
winequality-red.csv,2,NCAR,0.3,target,LinearSVM,0.565625,0.2196473450545112,0.5190917388800125
winequality-red.csv,2,NCAR,0.3,alcohol,LinearSVM,0.28125,0.11241851475742785,0.3296698005044715
winequality-red.csv,2,NCAR,0.3,target,KNN,0.4375,0.22266626723861363,0.4456797633388785
winequality-red.csv,2,NCAR,0.3,alcohol,KNN,0.340625,0.17027337118225608,0.4002222598497361
winequality-red.csv,2,NCAR,0.5,target,RF,0.45,0.23831702444712713,0.46903748397832257
winequality-red.csv,2,NCAR,0.5,alcohol,RF,0.103125,0.07341477398525076,0.17658995350513207
winequality-red.csv,2,NCAR,0.5,target,LinearSVM,0.509375,0.18677258017063844,0.4631632833186231
winequality-red.csv,2,NCAR,0.5,alcohol,LinearSVM,0.0,0.0,0.0
winequality-red.csv,2,NCAR,0.5,target,KNN,0.35625,0.1838202700045767,0.39140154143451744
winequality-red.csv,2,NCAR,0.5,alcohol,KNN,0.1125,0.07475839082926705,0.1735517652777164
winequality-red.csv,2,NAR,0.1,target,RF,0.6125,0.2544267907772963,0.6057641898036698
winequality-red.csv,2,NAR,0.1,alcohol,RF,0.584375,0.2230435206869633,0.591417837626854
winequality-red.csv,2,NAR,0.1,target,LinearSVM,0.54375,0.1960542929292929,0.48724905303030297
winequality-red.csv,2,NAR,0.1,alcohol,LinearSVM,0.546875,0.20466185767090447,0.49486438018954076
winequality-red.csv,2,NAR,0.1,target,KNN,0.459375,0.18198791308690732,0.4448210946313975
winequality-red.csv,2,NAR,0.1,alcohol,KNN,0.465625,0.1862891137801987,0.4500253308873954
winequality-red.csv,2,NAR,0.2,target,RF,0.609375,0.276548589615097,0.6096244231952099
winequality-red.csv,2,NAR,0.2,alcohol,RF,0.546875,0.21776193593083898,0.5808088975973001
winequality-red.csv,2,NAR,0.2,target,LinearSVM,0.565625,0.21292246049527605,0.5147471460578257
winequality-red.csv,2,NAR,0.2,alcohol,LinearSVM,0.55,0.19938046947693247,0.4952333839793647
winequality-red.csv,2,NAR,0.2,target,KNN,0.384375,0.15631707473812737,0.38532669815564546
winequality-red.csv,2,NAR,0.2,alcohol,KNN,0.365625,0.12923246493691107,0.3850775152884216
winequality-red.csv,2,NAR,0.3,target,RF,0.5625,0.23815093288777497,0.5645638401559455
